"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"79(1,G10)","Unknown29","18907.26562","5464.43994","84248.51562","26706.52734","3500.70044","68190.60156","44717.42188","180099.8125","3230.44385","5691.65283","11601.46973","14814.47266","369314.1875","7828.03174","6007.07617","1073"
"80(1,H10)","Unknown30","16454.64062","4639.33838","94123.36719","16191.41699","4117.94531","33738.63672","92819.52344","344839.875","2910.55298","6346.92334","12211.23047","23849.88281","595658.125","9724.81152","5273.77344","1096"
"81(1,A11)","Unknown31","74985.89062","3341.20532","31422.69727","15851.07617","2552.68628","18802.17773","134548.28125","226139.26562","2859.56079","5623.19141","10722.0166","10597.66699","263061.6875","10011.02148","4070.82715","1338"
"82(1,B11)","Unknown32","29513.48633","3809.24048","26180.95312","67515.28906","3248.72754","16640.03906","26825.22266","253470.51562","3153.27661","11150.875","12798.67676","13744.71094","435902.8125","14472.54492","3565.08032","1023"
"83(1,C11)","Unknown33","47644.46875","5293.11523","107257.16406","17261.87891","3682.58252","31133.86328","87992.46875","248968.78125","2917.47192","5927.78613","14065.12305","20438.6582","528920.125","9814.45898","6666.94336","1149"
"84(1,D11)","Unknown34","110834.47656","7302.42139","83673.16406","23857.58008","3883.69165","68822.75781","353328.09375","228221.6875","3547.01782","7390.89648","13105.0293","19433.66797","374805.59375","7097.72412","11385.93652","1201"
"85(1,E11)","Unknown35","46112.42188","4529.14844","55095.70703","14033.48047","2944.75488","88334.16406","79628.08594","147970.59375","2783.2229","5965.09033","11521.44336","9944.50391","271206.46875","6225.49023","4058.83325","1029"
"86(1,F11)","Unknown36","50256.91797","7462.9458","49914.24219","36970.75","3281.60742","31271.27148","37445.69141","251423.42188","2757.47656","14706.91309","13758.7627","24738.32031","496339.46875","9460.90137","3223.81055","1184"
"87(1,G11)","Unknown37","282661.59375","3190.3877","37665.94141","33104.4375","3252.9021","17743.68945","633044.3125","169594.75","2939.83008","5712.08838","14128.67383","9517.2334","546604.4375","8157.25098","7546.23193","1155"
"88(1,H11)","Unknown38","34071.41406","7397.47266","40603.75781","24984.28906","2936.95679","13827.70312","40494.42578","44628.11719","2891.21118","7631.99072","12287.85449","11674.07617","285601.1875","11451.08105","5244.30322","406"
"89(1,A12)","Unknown31","64098.45312","3767.81934","20515.21094","9730.21484","3320.99878","12474.55371","85031.16406","187993.71875","2802.02856","4142.01172","8944.77734","8574.63672","224194.76562","8799.16211","3453.03931","1032"
"90(1,B12)","Unknown32","20596.10156","3341.36255","19092.49219","24287.79688","3226.52686","8137.98047","18380.96094","165188.21875","2841.40552","7874.48535","10120.46191","10729.5498","539920.3125","11263.28027","3502.30176","1332"
"91(1,C12)","Unknown33","47510.64844","5501.2793","48991.33203","8587.85352","3358.03125","23110.61914","69396.60156","265756.5","2702.77466","4566.25977","11404.74902","18115.5918","455622.0625","9691.20312","3913.16895","893"
"92(1,D12)","Unknown34","71661.50781","5723.11719","37306.98047","10650.6748","2994.73926","29103.91406","222991.375","138645.09375","2756.91919","4886.89404","10213.31738","11181.87402","220709.34375","5868.03809","5321.48486","1029"
"93(1,E12)","Unknown35","38101.29688","4840.52637","49277.54297","12373.3418","3065.47339","61250.74219","83291.53906","208480.40625","2536.64673","5898.57324","11304.18066","14298.57617","255614.92188","8353.84277","3555.052","1133"
"94(1,F12)","Unknown36","50482.48828","8461.85938","42663.33203","21160.42383","2690.1875","26190.75195","29952.50977","157712.1875","2624.4209","13165.56348","12403.70508","18023.27344","329315.40625","10494.20996","3546.68921","1090"
"95(1,G12)","Unknown37","180815.10938","3365.07886","28312.88672","22786.71094","2827.58911","13024.83105","608218.375","133846.3125","2710.22998","4726.04053","11505.66113","8609.70312","405987.0625","7135.03564","5419.53076","1170"
"96(1,H12)","Unknown38","39991.73047","6496.17578","48878.06641","18529.04883","2693.14673","15610.44727","41202.76953","144944.1875","2744.78198","7103.55664","11384.66309","10898.03027","340531.15625","9418.55859","4561.01318","1015"


"DataType:","Mean"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"1(1,A1)","Standard1","287188.25","682463","566231.875","835917.125","789708.4375","3305420.75","1125650.25","494597.84375","837093.875","295925.71875","499014.8125","519180.3125","1134680.25","563583.9375","935063.5625","1168"
"2(1,B1)","Standard2","239558.35938","422110.3125","242618.125","730679.1875","338197.375","2570763","757485.75","436802.90625","457752.03125","251109.34375","320923.28125","387792.5625","790132.0625","267375.8125","630549.1875","1061"
"3(1,C1)","Standard3","145333.32812","233258.76562","72499.21875","248512.01562","116599.17188","1727306.5","512668.75","241548.28125","139044.60938","171186.04688","124474.38281","261860.71875","445949.125","86967.30469","229107.875","1075"
"4(1,D1)","Standard4","47097.49219","63505.74219","25682.93555","54694.3125","36019.82031","314787.5","191446.01562","93244.05469","29219.88086","69731.35156","30763.46094","47557.05859","146259.28125","30213.91406","66521.875","1158"
"5(1,E1)","Standard5","13716.21875","14626.09961","10059.5625","14682.56543","15350.52246","69608.6875","50669.4375","26895.23242","8607.92969","23133.29102","14429.69434","9457.24414","68816.10156","11085.05664","15746.19727","1018"
"6(1,F1)","Standard6","4916.77686","5850.84521","6289.99023","9567.35547","6503.22705","7277.34082","10193.48438","10540.95898","4195.80713","9502.61035","11109.6709","6439.5498","32026.53906","7351.35156","4909.29248","1002"
"7(1,G1)","Standard7","4156.14453","3481.58472","5024.79004","6250.37988","4116.18555","4120.08545","4044.55225","6008.7417","3265.73315","5502.07373","11900.4043","5219.02979","19706.99805","4825.71143","3538.11621","1264"
"8(1,H1)","Background0","3725.75757","3202.93677","4052.74829","5817.36133","2807.58228","3676.72412","3285.5564","4305.02588","3113.62256","3754.59448","11469.24414","4565.57324","13354.30664","4574.26611","3271.12354","1152"
"9(1,A2)","Standard1","316998.84375","718578.6875","555130.6875","817152.0625","800349.6875","2348670.25","1040422","554859.3125","815376","321247.625","518981.53125","488113.59375","1081592.625","632889.625","911395.4375","1126"
"10(1,B2)","Standard2","248949.03125","448449.34375","235791.8125","572745.125","329450.5625","2251051","822288.6875","465278.46875","447503.5","294869.96875","364196.4375","510980.125","760937.75","268422.1875","543826.625","1103"
"11(1,C2)","Standard3","148590.54688","209176.23438","85063.6875","319984.9375","136632.04688","1443660.25","504248.125","286471.96875","187677.34375","200476.60938","142065.45312","256072.09375","411424.40625","89805.60938","304992.875","1070"
"12(1,D2)","Standard4","56622.21484","73007.67969","25878.72461","54996.79297","42797.56641","382495.53125","219053.375","84662.57812","33043.28906","76238.05469","37778.44922","48510.38672","173305.59375","34750.53906","85010.125","1061"
"13(1,E2)","Standard5","13826.99902","17172.46875","11104.28516","14480.41895","16596.11328","34833.46875","50534.70703","30752.03125","7263.08057","23697.50391","15280.43652","11058.15723","68014.44531","12903.99512","16235.68066","1257"
"14(1,F2)","Standard6","4919","5782.54199","6256.02539","7560.29492","6772.97754","7506.1665","11003.30078","11695.35449","4059.08765","9660.22266","12416.74316","6020.28516","29553.3457","6943.29834","5198.84473","1034"
"15(1,G2)","Standard7","3937.6687","3692.80518","4712.19189","5971.55371","4178.32617","4593.74463","3780.51465","6009.43604","3027.32959","5520.22021","10289.37402","5302.01074","19194.94727","4972.32764","3614.0625","962"
"16(1,H2)","Background0","3712.37378","3821.13696","4437.8125","5547.54785","2941.70044","3915.0752","3333.91284","4286.27734","3255.03711","4550.82861","11128.71191","5238.71387","14136.05078","4391.36816","3421.7085","1216"
"17(1,A3)","Control1","39010.18359","60020.54297","25383.87109","67742.96094","38392.64453","345821.1875","184295.14062","85085.90625","31620.75586","67909.5625","28696.11719","48615.20312","96537.60156","527163.125","98048.42969","957"
"18(1,B3)","Control2","136865.28125","221060.23438","73070.03125","279783.84375","114510.9375","1332846.625","488584.125","225981.5625","143661.40625","189594.42188","120158.28906","238127.46875","233864.14062","75992.32031","251745.625","1143"
"19(1,C3)","Unknown1","38555.34766","9202.71875","54707.16406","10473.6748","4514.30664","26426.30664","45095.88672","238595.0625","6040.41992","5389.39502","11732.42871","9489.68457","301290.40625","6186.33838","11028.2627","1335"
"20(1,D3)","Unknown2","47905.12891","4106.18799","65039.14062","23836.54102","3749.53296","51234.57422","45867.45703","290074.3125","3738.22876","6633.21973","14882.7793","13652.62012","436199.15625","9296.83789","3770.20679","1179"
"21(1,E3)","Unknown3","47012.89453","4569.99512","17941.61133","10402.34961","4746.62061","6601.65771","53634.93359","176658.54688","4165.5752","5483.56982","12219.96582","6198.35889","266376.90625","7397.61572","4512.91943","1181"
"22(1,F3)","Unknown4","48440.39844","3916.52344","74791.35156","16584.16211","4542.81445","14667.38574","44574.71484","257705.625","3492.51147","6254.87598","15340.52539","12795.30469","356568","8852.81641","4885.37744","1080"
"23(1,G3)","Unknown5","53180.66406","6416.01416","39387.42188","17845.91211","4115.98828","25466.16211","80124.25","198608.57812","3213.6394","5921.6377","13049.80176","14561.99121","357483.46875","8298.15918","4430.24268","991"
"24(1,H3)","Unknown6","58339.44141","6344.10352","76878.35156","23083.79102","5416.12207","37476.55469","109525.07812","298550.5","3629.24292","5834.04932","13767.97852","17919.61133","457594.96875","8757.00586","4668.37891","966"
"25(1,A4)","Control1","44043.35938","51492.45703","26840.52344","76397.66406","37893.33203","433248.28125","208098.15625","161597.32812","26692.05078","103012.0625","34682.73828","55569.36719","116327.32812","30672.51562","83083.86719","1181"
"26(1,B4)","Control2","119449.85156","182006.375","77733.5","317839.875","111599.42188","1150320.875","506375.375","202501.6875","140950.98438","183839.125","121223.11719","245029.10938","273254.8125","83838.89062","259990.5","1035"
"27(1,C4)","Unknown1","31500.04883","4014.29468","46711.97266","9842.17578","4333.61475","20693.38672","48635.71484","216609.96875","3439.13257","10149.58008","11830.01758","12892.61035","238038.76562","6193.71777","3419.16406","1203"
"28(1,D4)","Unknown2","25640.59766","3612.85303","30838.23242","11198.14258","3463.64722","18703.13281","30928.0957","240242.6875","3658.93652","5444.16113","11858.66699","8882.2002","333219.34375","7293.65234","4152.13525","1007"
"29(1,E4)","Unknown3","61612.76172","5424.05518","19407.92969","11583.85742","4646.3999","4762.34521","74833.57031","202367.85938","3922.05542","6624.69189","12709.04297","6673.66016","376139.375","9143.5166","5192.74414","1314"
"30(1,F4)","Unknown4","57754.41797","5334.35791","73889.0625","19421.19727","4616.98584","17585.39648","48985.30078","239137.45312","3642.146","6500.24658","13997.05176","16288.0332","452600.875","9169.58203","4515.95605","1180"
"31(1,G4)","Unknown5","29479.22656","4708.84277","21042.44141","9964.13867","3700.2793","10027.73633","49429.42188","159559.67188","3288.82886","5881.66748","11929.60254","9197.81934","202919.03125","7496.58203","4460.68555","996"
"32(1,H4)","Unknown6","48605.26562","7691.82568","55237.05078","11888.82812","5413.83643","26049.08594","78343.86719","270323.28125","3551.30908","5379.34131","13564.73633","14173.5625","397137.40625","8325.71387","4278.17627","1068"
"33(1,A5)","Unknown7","21367.27539","6119.66211","16858.38281","7109.93701","3624.95654","6824.43164","26853.71875","158910.76562","3489.29395","4468.34326","11164.63477","6652.57617","282795.9375","8275.23145","3735.51562","973"
"34(1,B5)","Unknown8","19749.11719","4225.67285","37077.56641","12686.89648","4573.37109","18462.38672","21710.20703","180704.8125","3193.70508","5877.91309","11160.80371","8679.23047","340882.625","6456.29541","4119.78125","1155"
"35(1,C5)","Unknown9","52121.05078","5520.58301","44252.37109","11780.87109","4214.72021","24995.5918","80911.8125","260430.90625","3331.80396","5632.63867","12031.29395","13884.08105","1178021.75","8449.5752","5549.97998","1107"
"36(1,D5)","Unknown10","69092.4375","6755.59961","118425.35938","21613.32617","3775.9873","80348.66406","177649.10938","241204.15625","4337.58252","10247.66016","13717.0752","25626.72461","341482.875","6977.29297","5904.07129","1116"
"37(1,E5)","Unknown11","18397.29297","4802.7041","31859.20312","11325.16113","3909.27441","30420.56445","42723.37891","165551.53125","3624.91064","4627.85254","13400.47949","13869.30273","182934.92188","5771.92627","4329.64795","1022"
"38(1,F5)","Unknown12","64307.97266","6734.34082","32509.94336","14041.08398","4349.04688","16795.73242","82577.83594","87939.00781","4342.02441","13023.26074","12812.05566","17316.29297","365000.59375","6089.33447","7878.67188","1013"
"39(1,G5)","Unknown13","31008.55078","7776.03564","60894.29297","18376.70312","4232.49268","109162.01562","152367.26562","235017.25","3892.47778","6958.66309","16090.74414","18480.86133","427026.46875","8223.65039","5553.49805","1297"
"40(1,H5)","Unknown14","19780.85547","4660.97852","55210.57812","12700.50195","4927.41211","19784.91602","63991.74609","273018.34375","3814.67969","5608.92725","12537.93066","17136.60352","415715.375","8739.26953","4911.64941","1196"
"41(1,A6)","Unknown7","25657.28711","3491.30127","17655.96484","8648.52441","3702.43506","7313.01758","29857.19922","202636.5625","3104.73828","4526.86426","11962.37305","6867.85254","275673.09375","8917.04004","3894.19897","1303"
"42(1,B6)","Unknown8","18092.63086","5262.01855","31010.00195","12508.47559","4356.84863","15701.91309","23044.66602","140723.85938","3283.61133","5557.75293","10712.95215","8743.38086","330616.71875","6760.88477","3675.14624","1152"
"43(1,C6)","Unknown9","61419.625","5608.06982","41075.98047","10922.95215","4374.5459","25113.74219","90241.02344","227952.84375","3431.09424","6044.87646","11383.99219","13028.14648","524769.25","8781.50098","4970.73438","1139"
"44(1,D6)","Unknown10","79796.30469","7884.00244","123220.375","19679.97461","3757.59912","87362.35938","216257.375","281708.5","3620.65771","9635.23242","15572.89258","22366.79883","327568.6875","8215.49609","6264.37158","1205"
"45(1,E6)","Unknown11","23527.34375","4978.49414","32873.4375","11661.81055","3870.52417","29162.17969","52625.30078","194208.26562","3357.57788","6035.00879","12398.61816","11649.875","241476.48438","6338.48633","4099.47803","996"
"46(1,F6)","Unknown12","60729.63281","7432.1709","31770.14844","15159.80078","3784.75732","19193.27344","82276.33594","112544.30469","3679.61011","8991.2793","11468.90625","15778.90332","410709.0625","5584.71777","4732.81641","1117"
"47(1,G6)","Unknown13","28706.93555","7494.25146","38713.76172","11980.09961","3921.00464","58501.77344","126459.08594","205787.95312","3492.78369","5662.83105","11310.66309","13448.4707","303249.21875","7390.87354","4377.22656","1181"
"48(1,H6)","Unknown14","22661.41016","5738.26025","62824.5625","11986.2832","5326.09863","21907.18555","61836.08984","330750.6875","3655.32007","6030.7168","12091.09863","17267.09766","474083.125","8850.36816","4317.1001","952"
"49(1,A7)","Unknown15","42674.73438","8325.77148","17739.44141","14622.11914","4100.10156","7072.03125","92980.32812","164252.6875","4133.72314","6694.60742","12874.5625","7579.07666","169676.82812","7173.0957","5220.94775","708"
"50(1,B7)","Unknown16","37955.95312","5188.13184","60986.88672","15112.36621","3999.75488","14608.5791","70581.9375","255698.79688","3668.09253","6888.98145","14974.8584","13821.33496","378878.1875","7173.50195","5477.25098","1006"
"51(1,C7)","Unknown17","42760.91797","4411.15137","45571.4375","15184.37207","3991.87207","28719.30078","43081.17188","287239.6875","4895.9541","7448.13916","13331.78223","17863.66016","392672.21875","10429.46387","3942.66626","1127"
"52(1,D7)","Unknown18","45518.23047","6636.37109","80027.3125","19956.12891","6262.18506","60062.01562","43687.82031","273635.71875","3497.10229","6059.22656","15364.25488","15512.26465","329072.90625","9764.17578","4930.55469","1051"
"53(1,E7)","Unknown19","24513.27344","6605.62988","47573.22266","11529.1543","3804.99512","38373.33594","22136.80664","893170.4375","3147.79834","6737.26465","11672.42871","14733.94922","381600.15625","4410.18359","4111.27783","1101"
"54(1,F7)","Unknown20","23564.20508","7465.94189","84538.20312","15711.625","4143.97803","37926.48828","23881.72266","231695.59375","3379.23608","6769.45605","13949.07324","12386.17871","394684.21875","4366.41699","4639.16553","1075"
"55(1,G7)","Unknown21","134431.35938","4516.6123","23371.34961","13182.04395","3390.73486","11710.5957","266648.3125","275139.71875","4462.91846","8926.70703","13659.74707","7762.43555","367871.15625","6954.28223","5448.61035","1236"
"56(1,H7)","Unknown22","196137.125","5090.06689","45463.1875","28233.21875","3561.72192","18503.85742","473545.03125","294548.46875","3999.00659","6788.54688","15219.42871","13360.89258","470377.71875","6879.54785","11594.97656","1031"
"57(1,A8)","Unknown15","36516.40234","4722.30713","14118.16504","10641.39941","3988.30029","6163.79297","90252.08594","185763.25","4327.59863","5042.45312","12769.1709","8187.77588","158534.76562","6587.4502","4678.33789","1091"
"58(1,B8)","Unknown16","43467.66406","4043.73901","69299.60156","19335.30469","4112.11328","13775.0625","66677.53125","330173.75","3512.15552","6897.53467","14968.34766","12808.81152","433425.75","8471.64941","4998.41309","1057"
"59(1,C8)","Unknown17","35377.98438","4379.13574","40748.78125","14056.32715","4027.66406","24478.83203","38631.14453","254169.625","3854.83691","8241.14258","13436.7627","17510.30273","421787.0625","9356.99805","4927.90039","1069"
"60(1,D8)","Unknown18","50859.53516","6764.84131","84013.00781","22274.00195","6030.67334","54431.19922","47969.58984","336733.8125","3736.98291","7870.98682","16614.32227","16737.90234","469535.71875","13638.26367","5257.71973","1120"
"61(1,E8)","Unknown19","23267.83789","6891.85889","44728.92188","12177.79492","4137.60938","33159.73047","18363.84961","133161.04688","3598.36816","7559.07227","13383.69824","15107.91309","266570.3125","4078.79956","4947.73242","1063"
"62(1,F8)","Unknown20","22670.20117","7306.50635","90974.61719","14020.1416","3294.42676","43666.67969","25201.48438","253423.84375","3289.89136","6330.56787","14061.13965","12289.76855","329710.03125","4223.09131","4429.8335","1101"
"63(1,G8)","Unknown21","146650.20312","4107.44238","26222.2168","12796.72266","3398.10742","12140.49219","282845.3125","285487.3125","3279.90356","5731.98877","12973.14453","8575.90039","364679.375","7804.00635","4841.14795","1084"
"64(1,H8)","Unknown22","195571.35938","4352.99658","54708.65234","34893.77344","3943.55469","19479.81641","481666.09375","244307.76562","3576.16528","6238.89746","13447.20703","13796.92871","482521.34375","6732.99121","10519.05664","1092"
"65(1,A9)","Unknown23","67788.41406","4854.1084","75088.24219","23043.73633","3781.53857","74286.6875","139003.98438","235182","4021.35034","8125.95898","17185.42773","16590.36133","341708.75","6813.45117","6869.39014","1208"
"66(1,B9)","Unknown24","26809.88867","9390.90527","28561.16016","20138.06445","4349.05078","37013.66016","42636.21094","192099.5625","4465.84521","6962.33936","13841.89746","13057.7002","388208","6726.21631","5284.9375","1090"
"67(1,C9)","Unknown25","27469.56055","4997.87012","58488.73438","9429.58398","4574.87451","30003.04688","34223.22656","267998.90625","3402.39233","5777.93799","12195.47461","13347.52148","405679.1875","8672.61523","5081.53418","1018"
"68(1,D9)","Unknown26","108006.25","6670.61133","71798.54688","11705.84277","3745.81885","88075.625","219170.98438","362523.90625","3743.7959","7052.54932","16879.52344","19721.32812","529728","9196.74219","11622.90918","974"
"69(1,E9)","Unknown27","24438.86133","4991.64795","31037.85938","11543.72168","3439.48608","24231.11523","25656.125","171057.51562","3728.09717","6685.62305","11324.7373","12397.79004","301887.125","7158.42773","14217.65625","1111"
"70(1,F9)","Unknown28","38805.28516","13732.54785","40567.13281","11154.31641","3993.53052","25124.9082","60417.66016","189822.07812","3419.7439","5623.73975","11289.81445","9304.47168","309605.75","7548.27148","4841.73535","971"
"71(1,G9)","Unknown29","16971.19922","6508.97314","57059.11328","18073.70312","3835.19824","65224.5","44628.09375","212974.92188","3652.85474","5941.41064","12305.84766","11490.34961","380604.96875","6589.10107","6081.48535","1215"
"72(1,H9)","Unknown30","17116.24023","6310.47314","61101.67969","10809.83594","5269.77393","21881.01953","66838.67188","248052.09375","3421.29028","5776.14404","13657.08398","17157.30273","458319.3125","8389.12207","5801.01709","1002"
"73(1,A10)","Unknown23","65745.90625","6593.53857","74289.05469","26020.19531","4119.91943","74483.95312","142137.375","209987.78125","5520.61572","10447.55078","18737.88281","26479.11523","303138.9375","7180.65088","5697.40039","1034"
"74(1,B10)","Unknown24","24013.35352","8851.69531","32245.06445","20926.82617","3476.02393","50593.99219","35485.19922","169838.85938","3046.64941","7827.44629","13756.9834","13135.98633","409897.53125","6461.98828","5304.20264","977"
"75(1,C10)","Unknown25","33127.10938","6613.80273","100625.00781","16317.78906","4380.72559","51082.09375","54952.26953","306631.3125","4814.56738","7897.05273","13890.00098","22542.57812","390062.4375","11022.2793","6262.95801","1145"
"76(1,D10)","Unknown26","114678.16406","6290.00244","82267.78125","14629.52539","3990.49902","88216.52344","238632.48438","349255.71875","3953.91943","11455.12793","13210.57129","20034.08789","438310.78125","8282.97949","17938.93945","1030"
"77(1,E10)","Unknown27","29517.48242","6489.75684","53521.42188","16540.32031","3521.86011","35388.79297","32645.7832","212391.26562","3235.95508","6291.19141","16884.40039","11690.59082","446126.125","7220.58789","5393.29492","1120"
"78(1,F10)","Unknown28","44839.04297","10006.7666","51049.41016","16182.89453","3381.10327","30533.67383","74214.79688","171818.98438","3640.84155","6517.72803","12353.99023","11068.89258","345717.75","6216.09277","5459.22266","1174"
"79(1,G10)","Unknown29","18605.63867","5832.60791","77036.35156","27597.47461","3846.79541","78874.71875","42479.94922","201939.40625","3828.65063","6285.09424","14645.72266","13411.7041","383419.8125","7585.7832","6607.50537","1073"
"80(1,H10)","Unknown30","15716.55859","4730.65674","84175.64844","15670.10059","4895.86816","31890.61719","83140.42969","325159.5625","4145.77979","7400.36963","14312.59766","23369.32422","550233.875","9258.47852","5607.6167","1096"
"81(1,A11)","Unknown31","71833.29688","4376.28174","29231.43555","16565.19336","3938.96509","17245.20703","121369.69531","217934.46875","3452.02051","5684.62109","11542.80078","11096.87012","322703.40625","11436.16895","5443.14209","1338"
"82(1,B11)","Unknown32","27083.56641","4224.4209","26929.47266","62216.58203","3999.77612","15922.34277","27841.66211","263380.84375","4301.28711","10987.9668","14936.7334","12977.18066","495873.53125","14369.45996","4856.2627","1023"
"83(1,C11)","Unknown33","50352.27344","6738.81201","100130.15625","18141.88281","4164.12061","33201.82422","81048.14844","265258.625","3380.95166","6580.30518","15162.19531","21575.07812","517721.34375","10464.40137","7543.51221","1149"
"84(1,D11)","Unknown34","102470.11719","8479.9082","80376.875","22651.63086","4830.8335","69797.92969","311638.625","229566.26562","4848.71191","8388.43555","15625.94727","19001.5625","393182.15625","7198.02979","12366.26465","1201"
"85(1,E11)","Unknown35","44855.20312","5618.36133","53468.22656","15591.18555","3631.61084","81773.32812","81960.46094","188000.70312","3105.30981","6217.5835","12149.14355","11568.23145","271712.875","6468.70459","4991.49463","1029"
"86(1,F11)","Unknown36","44240.12109","7496.81201","43949.58594","32258.04883","4241.8418","30544.61133","33062.19922","223435.07812","3355.46753","13678.67676","14378.77148","23316.06836","475892.28125","9615.52051","3975.45142","1184"
"87(1,G11)","Unknown37","238084.76562","5047.08936","36528.07812","31060.76758","4182.30371","15979.89062","594400.3125","167655.75","4005.69604","6139.95117","15917.93359","9964.83789","444166.28125","7825.6084","8181.99854","1155"
"88(1,H11)","Unknown38","42630.15234","10658.83789","44068.08984","22509.9668","5982.28027","27311.92969","37900.0625","86103.46094","3890.34058","10949.18848","16013.3877","12176.2832","330058.9375","14287.22461","7116.87549","406"
"89(1,A12)","Unknown31","59025.33594","4701.75586","20699.67969","9417.91211","3589.06812","12341.85254","91272.44531","202277.89062","3549.26294","5065.66504","9770.98242","9735.30762","269161.1875","9003.84863","4142.06689","1032"
"90(1,B12)","Unknown32","19861.05859","3642.72559","18461.83789","21886.60742","3879.05933","8032.04346","17302.75586","185795.1875","3420.19629","9277.09082","11103.24609","10714.26367","685643.1875","10934.77734","3824.81226","1332"
"91(1,C12)","Unknown33","43225.05859","5874.10205","43088.96484","9191.86719","3856.08521","19360.15234","60060.21484","264408.28125","3163.104","4834.15869","12324.5166","16143.69531","430182.34375","9378.83398","4312.79297","893"
"92(1,D12)","Unknown34","69707.84375","6094.3125","34269.67188","10350.64746","3256.58984","32696.39062","187484.82812","173066.625","2954.39282","5161.70166","11427.97852","12429.87988","437164.9375","5727.47852","5923.9209","1029"
"93(1,E12)","Unknown35","41634.21484","4916.59717","43667.20312","11981.19141","3311.73169","64380.79297","74150.94531","219214.10938","2997.57446","6121.49365","11645.31055","13120.99512","275500.5","7819.69971","3845.55298","1133"
"94(1,F12)","Unknown36","43381.61328","9590.27637","37758.23438","21950.54688","3335.7832","24357.60156","27191.22852","193190.78125","3214.55029","12203.86523","13127.38672","19295.92578","507421.71875","9330.51367","4836.80908","1090"
"95(1,G12)","Unknown37","169499.09375","5020.79541","26667.54102","19956.32227","3856.86279","13145.70703","571242.25","147803.875","3144.17798","5250.20996","12946.4541","8903.17383","337489.75","7462.7666","6419.09619","1170"
