MICE_ID_RAR_INDIVIDUAL,ID_MICE,RACK,LOCATION,COHORT,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,DAILY_FOOD_INTAKE_G,DAILY_FOOD_INTAKE_KCAL,BODY_WEIGHT_G,DATE,AIM,COMMENTS,FAT,LEAN,FREE_WATER,TOTAL_WATER,TIME_DATE_DURA,NEW_FOOD_END_SESSION_G,RESEARCH_DIET_FORMULA,LOT_FOOD,COMMENT_TWO
B00002447864,7864,6A,I9,2,7/9/24,M,HFD,10,2,14.28,9.54,2.37,11.2101,25.14,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447865,7865,6A,J9,2,7/9/24,M,HFD,10,2,22.6,15.76,3.42,16.1766,28.67,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447860,7860,6A,L5,2,7/9/24,M,HFD,10,2,13.45,8.03,2.71,12.8183,25.65,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447861,7861,6A,M5,2,7/9/24,M,HFD,10,2,14.28,8.73,2.775,13.12575,25.45,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447866,7866,6A,K7,2,7/9/24,M,HFD,10,2,13.63,7.83,2.9,13.717,23.3,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447862,7862,6A,L7,2,7/9/24,M,HFD,10,2,15.46,9.4,3.03,14.3319,24.5,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447867,7867,6A,H8,2,7/9/24,M,HFD,10,2,13.97,8.99,2.49,11.7777,23.84,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447863,7863,6A,I8,2,7/9/24,M,HFD,10,2,15.51,11.65,1.93,9.1289,28.14,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447880,7880,6A,J8,2,7/9/24,F,LFD,10,2,16.27,12.99,1.64,6.2648,17.55,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
B00002447881,7881,6A,K7,2,7/9/24,F,LFD,10,2,14.89,9.43,2.73,10.4286,17.82,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
